 i,   x(i),   F(i)
         120  0.42801470400000002        2.4020947703999999E-003
         121  0.43158149320000005        2.4024514493199999E-003
         122  0.43514828240000003        2.4028081282400000E-003
         123  0.43871507160000006        2.4031648071600000E-003
         124  0.44228186080000004        2.4035214860800001E-003
         125  0.44584865000000007        2.4038781650000001E-003
         126  0.44941543920000004        2.4042348439199997E-003
         127  0.45298222840000008        2.4045915228399998E-003
         128  0.45654901760000005        2.4049482017599998E-003
         129  0.46011580680000003        2.4053048806799999E-003
         130  0.46368259600000006        2.4056615595999999E-003
         131  0.46724938520000003        2.4060182385200000E-003
         132  0.47081617440000006        2.4063749174400000E-003
         133  0.47438296360000004        2.4067315963600001E-003
         134  0.47794975280000007        2.4070882752800001E-003
         135  0.48151654200000005        2.4074449541999997E-003
         136  0.48508333120000008        2.4078016331199998E-003
         137  0.48865012040000005        2.4081583120399998E-003
         138  0.49221690960000003        2.4085149909599999E-003
         139  0.49578369880000006        2.4088716698799999E-003
         140  0.49935048800000004        2.4092283488000000E-003
         141  0.50291727720000001        2.4095850277200000E-003
         142  0.50648406640000010        2.4099417066400001E-003
         143  0.51005085560000007        2.4102983855600001E-003
         144  0.51361764480000005        2.4106550644799997E-003
         145  0.51718443400000003        2.4110117433999998E-003
         146  0.52075122320000011        2.4113684223199998E-003
         147  0.52431801240000009        2.4117251012399999E-003
         148  0.52788480160000006        2.4120817801599999E-003
         149  0.53145159080000004        2.4124384590800000E-003
         150  0.53501838000000002        2.4127951380000000E-003
         151  0.53858516920000010        2.4131518169200001E-003
         152  0.54215195840000008        2.4135084958400001E-003
         153  0.54571874760000005        2.4138651747599997E-003
         154  0.54928553680000003        2.4142218536799998E-003
         155  0.55285232600000012        2.4145785325999998E-003
         156  0.55641911520000009        2.4149352115199999E-003
         157  0.55998590440000007        2.4152918904399999E-003
         158  0.56355269360000004        2.4156485693600000E-003
         159  0.56711948280000002        2.4160052482800000E-003
         160  0.57068627200000011        2.4163619272000001E-003
         161  0.57425306120000008        2.4167186061200001E-003
         162  0.57781985040000006        2.4170752850399997E-003
         163  0.58138663960000003        2.4174319639599998E-003
         164  0.58495342880000012        2.4177886428799998E-003
         165  0.58852021800000009        2.4181453217999999E-003
         166  0.59208700720000007        2.4185020007199999E-003
         167  0.59565379640000005        2.4188586796400000E-003
         168  0.59922058560000002        2.4192153585600000E-003
         169  0.60278737480000011        2.4195720374800000E-003
         170  0.60635416400000008        2.4199287164000001E-003
         171  0.60992095320000006        2.4202853953199997E-003
         172  0.61348774240000004        2.4206420742399998E-003
         173  0.61705453160000012        2.4209987531599998E-003
         174  0.62062132080000010        2.4213554320799999E-003
         175  0.62418811000000007        2.4217121109999999E-003
         176  0.62775489920000005        2.4220687899199999E-003
         177  0.63132168840000003        2.4224254688400000E-003
         178  0.63488847760000011        2.4227821477600000E-003
         179  0.63845526680000009        2.4231388266800001E-003
         180  0.64202205600000006        2.4234955055999997E-003
         181  0.64558884520000004        2.4238521845199998E-003
         182  0.64915563440000013        2.4242088634399998E-003
         183  0.65272242360000010        2.4245655423599998E-003
         184  0.65628921280000008        2.4249222212799999E-003
         185  0.65985600200000005        2.4252789001999999E-003
         186  0.66342279120000003        2.4256355791200000E-003
         187  0.66698958040000011        2.4259922580400000E-003
         188  0.67055636960000009        2.4263489369600001E-003
         189  0.67412315880000007        2.4267056158799997E-003
         190  0.67768994800000004        2.4270622947999997E-003
         191  0.68125673720000013        2.4274189737199998E-003
         192  0.68482352640000010        2.4277756526399998E-003
         193  0.68839031560000008        2.4281323315599999E-003
         194  0.69195710480000006        2.4284890104799999E-003
         195  0.69552389400000003        2.4288456894000000E-003
         196  0.69909068320000012        2.4292023683200000E-003
         197  0.70265747240000009        2.4295590472400001E-003
         198  0.70622426160000007        2.4299157261599997E-003
         199  0.70979105080000005        2.4302724050799997E-003
         200  0.71335784000000013        2.4306290839999998E-003
         201  0.71692462920000011        2.4309857629199998E-003
         202  0.72049141840000008        2.4313424418399999E-003
         203  0.72405820760000006        2.4316991207599999E-003
         204  0.72762499680000003        2.4320557996800000E-003
         205  0.73119178600000012        2.4324124786000000E-003
         206  0.73475857520000010        2.4327691575200001E-003
         207  0.73832536440000007        2.4331258364400001E-003
         208  0.74189215360000005        2.4334825153599997E-003
         209  0.74545894280000013        2.4338391942799998E-003
         210  0.74902573200000011        2.4341958731999998E-003
         211  0.75259252120000009        2.4345525521199999E-003
         212  0.75615931040000006        2.4349092310399999E-003
         213  0.75972609960000004        2.4352659099600000E-003
         214  0.76329288880000012        2.4356225888800000E-003
         215  0.76685967800000010        2.4359792678000001E-003
         216  0.77042646720000008        2.4363359467200001E-003
         217  0.77399325640000005        2.4366926256399997E-003
         218  0.77756004560000014        2.4370493045599998E-003
         219  0.78112683480000011        2.4374059834799998E-003
         220  0.78469362400000009        2.4377626623999999E-003
         221  0.78826041320000007        2.4381193413199999E-003
         222  0.79182720240000004        2.4384760202400000E-003
         223  0.79539399160000013        2.4388326991600000E-003
         224  0.79896078080000010        2.4391893780800001E-003
         225  0.80252757000000008        2.4395460570000001E-003
         226  0.80609435920000005        2.4399027359199997E-003
         227  0.80966114840000014        2.4402594148399998E-003
         228  0.81322793760000012        2.4406160937599998E-003
         229  0.81679472680000009        2.4409727726799999E-003
         230  0.82036151600000007        2.4413294515999999E-003
         231  0.82392830520000004        2.4416861305200000E-003
         232  0.82749509440000013        2.4420428094400000E-003
         233  0.83106188360000011        2.4423994883600001E-003
         234  0.83462867280000008        2.4427561672800001E-003
         235  0.83819546200000006        2.4431128461999997E-003
         236  0.84176225120000014        2.4434695251199998E-003
         237  0.84532904040000012        2.4438262040399998E-003
         238  0.84889582960000010        2.4441828829599999E-003
         239  0.85246261880000007        2.4445395618799999E-003
         240  0.85602940800000005        2.4448962408000000E-003
         241  0.85959619720000013        2.4452529197200000E-003
         242  0.86316298640000011        2.4456095986400000E-003
         243  0.86672977560000009        2.4459662775600001E-003
         244  0.87029656480000006        2.4463229564799997E-003
         245  0.87386335400000015        2.4466796353999998E-003
         246  0.87743014320000012        2.4470363143199998E-003
         247  0.88099693240000010        2.4473929932399999E-003
         248  0.88456372160000007        2.4477496721599999E-003
         249  0.88813051080000005        2.4481063510799999E-003
         250  0.89169730000000014        2.4484630300000000E-003
         251  0.89526408920000011        2.4488197089200000E-003
         252  0.89883087840000009        2.4491763878400001E-003
         253  0.90239766760000006        2.4495330667599997E-003
         254  0.90596445680000015        2.4498897456799998E-003
         255  0.90953124600000013        2.4502464245999998E-003
         256  0.91309803520000010        2.4506031035199998E-003
         257  0.91666482440000008        2.4509597824399999E-003
         258  0.92023161360000005        2.4513164613599999E-003
         259  0.92379840280000014        2.4516731402800000E-003
         260  0.92736519200000012        2.4520298192000000E-003
         261  0.93093198120000009        2.4523864981200001E-003
         262  0.93449877040000007        2.4527431770399997E-003
         263  0.93806555960000015        2.4530998559599997E-003
         264  0.94163234880000013        2.4534565348799998E-003
